member_id,settlement_liquidity_need_usd,available_qualified_liquid_resources_usd,repo_rollover_need_usd,incremental_funding_cost_usd,member_concentration_ratio,excluded_section16_additional_collateral_demand_usd,excluded_section16_composite_outflow_usd,additional_haircut_requirement_usd,excluded_section17_aqlr_reduction_usd,treasury_liquidation_loss_usd,settlement_fail_requirement_usd,excluded_section18_funding_shock_usd,excluded_section18_composite_outflow_usd,concentration_base_usd,concentration_excess_ratio,concentration_adjustment_usd,pre_buffer_stressed_liquidity_requirement_usd,operational_liquidity_buffer_usd,stressed_liquidity_requirement_usd,liquidity_coverage_ratio,liquidity_headroom_usd,liquidity_shortfall_usd,lcr_status,section16_composite_identity_difference_usd,section18_composite_identity_difference_usd,double_count_control_pass,excluded_overlapping_candidate_amount_usd,scenario_name,severity_rank,funding_scenario_name,haircut_scenario_name,treasury_scenario_name,settlement_fail_scenario_name,concentration_threshold,concentration_multiplier,operational_liquidity_buffer_rate,lcr_minimum_ratio,model_version,value_class,actual_ficc_participant,participant_level_inference
SYN-MBR-0011,60735734239.45619,75242847988.50183,0.0,0.0,0.2977758440804922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60735734239.45619,0.0,0.0,60735734239.45619,0.0,60735734239.45619,1.238856316313721,14507113749.045639,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0012,144292010968.214,212367652625.22192,0.0,0.0,0.2660186781845312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144292010968.214,0.0,0.0,144292010968.214,0.0,144292010968.214,1.4717907886944919,68075641657.007935,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0013,52803412307.27307,98583293681.45982,0.0,0.0,0.2779980045983231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52803412307.27307,0.0,0.0,52803412307.27307,0.0,52803412307.27307,1.8669871770366835,45779881374.18675,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0014,18905679729.392178,27563413705.90542,0.0,0.0,0.2790454531081706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18905679729.392178,0.0,0.0,18905679729.392178,0.0,18905679729.392178,1.4579435439738928,8657733976.51324,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0015,16748938730.153816,24224007964.745144,0.0,0.0,0.2433279583164211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16748938730.153816,0.0,0.0,16748938730.153816,0.0,16748938730.153816,1.4463010674899448,7475069234.591328,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0016,27198692761.82988,34634721035.148605,0.0,0.0,0.2562474183718598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27198692761.82988,0.0,0.0,27198692761.82988,0.0,27198692761.82988,1.273396531900765,7436028273.318726,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0017,16925605514.598438,18547989416.68169,0.0,0.0,0.2855039422574281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16925605514.598438,0.0,0.0,16925605514.598438,0.0,16925605514.598438,1.0958538175005872,1622383902.083252,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0018,49366994743.6497,90823998967.0652,0.0,0.0,0.2842507582429487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49366994743.6497,0.0,0.0,49366994743.6497,0.0,49366994743.6497,1.8397716822482557,41457004223.415504,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0019,21549543716.28105,22087577368.86665,0.0,0.0,0.2857936716453766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21549543716.28105,0.0,0.0,21549543716.28105,0.0,21549543716.28105,1.0249672874595068,538033652.585598,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0020,58917682215.03989,63853933972.30661,0.0,0.0,0.270934987158949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58917682215.03989,0.0,0.0,58917682215.03989,0.0,58917682215.03989,1.0837821783153352,4936251757.266724,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0021,223347401819.26135,304408474480.80493,0.0,0.0,0.2777437525025225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223347401819.26135,0.0,0.0,223347401819.26135,0.0,223347401819.26135,1.36293716426189,81061072661.54358,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0022,24024789572.102814,26836974511.062134,0.0,0.0,0.2791649105722638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24024789572.102814,0.0,0.0,24024789572.102814,0.0,24024789572.102814,1.1170534680655344,2812184938.95932,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0023,47176754102.84989,90188351371.4415,0.0,0.0,0.3337864740212283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47176754102.84989,0.0,0.0,47176754102.84989,0.0,47176754102.84989,1.9117116700064223,43011597268.591606,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0024,18574452756.67761,27523688539.237083,0.0,0.0,0.2915580076874683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18574452756.67761,0.0,0.0,18574452756.67761,0.0,18574452756.67761,1.4818034695176783,8949235782.559475,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0025,37913634646.76164,56811541404.62919,0.0,0.0,0.3137082980128892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37913634646.76164,0.0,0.0,37913634646.76164,0.0,37913634646.76164,1.498446190504758,18897906757.867546,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0026,51482648842.523285,61978397436.36327,0.0,0.0,0.2542034684354277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51482648842.523285,0.0,0.0,51482648842.523285,0.0,51482648842.523285,1.2038696304447098,10495748593.839989,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0027,32063094722.12096,56916796024.10076,0.0,0.0,0.294478103365004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32063094722.12096,0.0,0.0,32063094722.12096,0.0,32063094722.12096,1.775149795033127,24853701301.9798,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0028,76904103317.7189,99599212235.12988,0.0,0.0,0.2314434101398989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76904103317.7189,0.0,0.0,76904103317.7189,0.0,76904103317.7189,1.2951092066394585,22695108917.41098,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0029,18665876759.885567,30217348533.848213,0.0,0.0,0.2428260585204829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18665876759.885567,0.0,0.0,18665876759.885567,0.0,18665876759.885567,1.6188550327722975,11551471773.962646,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0030,175821733787.35785,302812978716.35925,0.0,0.0,0.2926434114775448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175821733787.35785,0.0,0.0,175821733787.35785,0.0,175821733787.35785,1.7222727372407045,126991244929.0014,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0031,57573944874.87246,61529492053.88336,0.0,0.0,0.3219640551273276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57573944874.87246,0.0,0.0,57573944874.87246,0.0,57573944874.87246,1.0687037719511427,3955547179.0109024,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0032,23694465319.93,36676041150.87291,0.0,0.0,0.2985178603120351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23694465319.93,0.0,0.0,23694465319.93,0.0,23694465319.93,1.5478737610518598,12981575830.94291,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0033,27754252011.11132,59118321064.85495,0.0,0.0,0.237180655703461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27754252011.11132,0.0,0.0,27754252011.11132,0.0,27754252011.11132,2.1300635679602222,31364069053.74363,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0034,41209294162.20596,63634218892.15825,0.0,0.0,0.3029528381239237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41209294162.20596,0.0,0.0,41209294162.20596,0.0,41209294162.20596,1.5441715318317373,22424924729.952286,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0035,18268399456.49582,39933966050.57036,0.0,0.0,0.2438061531698401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18268399456.49582,0.0,0.0,18268399456.49582,0.0,18268399456.49582,2.1859586629725665,21665566594.07454,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0036,86121022025.06229,95836713791.62004,0.0,0.0,0.2301655988291318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86121022025.06229,0.0,0.0,86121022025.06229,0.0,86121022025.06229,1.1128144039411234,9715691766.557755,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0037,173143482343.27496,248389787156.37576,0.0,0.0,0.31238017263729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173143482343.27496,0.0,0.0,173143482343.27496,0.0,173143482343.27496,1.4345893001269154,75246304813.1008,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0038,18068256922.030533,25040064941.657112,0.0,0.0,0.3282194300583181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18068256922.030533,0.0,0.0,18068256922.030533,0.0,18068256922.030533,1.3858594688857833,6971808019.626579,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0039,117474744776.86755,139476713507.33163,0.0,0.0,0.2729741737671126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117474744776.86755,0.0,0.0,117474744776.86755,0.0,117474744776.86755,1.1872910536835368,22001968730.46408,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0040,20556787423.82752,22962330417.93186,0.0,0.0,0.2604829424513456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20556787423.82752,0.0,0.0,20556787423.82752,0.0,20556787423.82752,1.117019403105568,2405542994.1043434,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0041,12950085858.467745,19834120222.86173,0.0,0.0,0.2431412077983898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12950085858.467745,0.0,0.0,12950085858.467745,0.0,12950085858.467745,1.5315821408158992,6884034364.393984,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0042,15663697169.426891,17941700328.971954,0.0,0.0,0.3385593112722906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15663697169.426891,0.0,0.0,15663697169.426891,0.0,15663697169.426891,1.1454320225234802,2278003159.545063,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0043,25092965439.50126,36743787081.90648,0.0,0.0,0.2755257851968193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25092965439.50126,0.0,0.0,25092965439.50126,0.0,25092965439.50126,1.46430628817049,11650821642.40522,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0044,168262174017.0547,308181623027.815,0.0,0.0,0.2656661576637595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168262174017.0547,0.0,0.0,168262174017.0547,0.0,168262174017.0547,1.8315561701739238,139919449010.7603,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0045,32588093202.872517,28997219975.458717,0.0,0.0,0.2690440074811175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32588093202.872517,0.0,0.0,32588093202.872517,0.0,32588093202.872517,0.8898102688899491,-3590873227.4137993,3590873227.4137993,BREACH,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0046,59669776303.86548,100264545076.87358,0.0,0.0,0.2702305181464094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59669776303.86548,0.0,0.0,59669776303.86548,0.0,59669776303.86548,1.680323796862941,40594768773.0081,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0047,67671110299.97056,97833540582.7385,0.0,0.0,0.2915350084787377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67671110299.97056,0.0,0.0,67671110299.97056,0.0,67671110299.97056,1.4457209309713521,30162430282.767937,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0048,26801661099.536205,35327193721.53835,0.0,0.0,0.241119733393087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26801661099.536205,0.0,0.0,26801661099.536205,0.0,26801661099.536205,1.3180971727961175,8525532622.002148,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0001,18858809027.69864,27146854021.072403,3423945174.5243254,417812.2604448521,0.31313937116218,465555209.2753331,3889918196.060104,293580839.4042289,14398827.67763,18043806.653692424,3140753529.1507125,1944959098.0300517,5085712627.180764,21999562556.84935,0.0,0.0,25735550189.692043,514711003.7938409,26250261193.485886,1.0341555773856075,896592827.5865173,0.0,PASS,5.364418029785156e-07,0.0,True,2424913134.9830146,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0002,55686674465.80817,50488291294.855255,9314255636.55866,1224336.3543123924,0.293314313445164,1295184150.7291307,10610664123.642103,818749716.4780825,32402137.082815,32843571.104953706,7794176241.292288,5305332061.821053,13099508303.11334,63480850707.10046,0.0,0.0,73647923967.59645,1472958479.351929,75120882446.94838,0.6720939591000004,-24632591152.093124,24632591152.093124,BREACH,-4.76837158203125e-07,0.0,True,6632918349.632998,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0003,27151181408.92816,31252301950.259502,4437416596.428474,612295.7515392414,0.2573079708206423,633860848.6600705,5071889740.840084,414921531.2936824,18825612.4207475,18782578.347794756,4032621907.3358436,2535944870.420042,6568566777.755886,31183803316.264004,0.0,0.0,36055536318.085495,721110726.36171,36776647044.447205,0.8497866026908016,-5524345094.187702,5524345094.187702,BREACH,-1.1920928955078125e-07,4.76837158203125e-07,True,3188631331.5008597,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0004,34647571395.1913,41457312552.14155,5727762885.142515,769888.6807764617,0.2510355218707167,817390525.7276464,6545923299.550939,506021667.3756827,21226920.786140002,26349334.75441231,5376954982.216429,3272961649.775469,8649916631.991898,40024526377.40773,0.0,0.0,46285430153.361115,925708603.0672224,47211138756.42834,0.8781256636495908,-5753826204.286789,5753826204.286789,BREACH,5.960464477539062e-07,0.0,True,4111579096.289255,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0005,31915827839.295277,56249395326.243454,5422720901.036521,697944.6002543139,0.3018129863575002,748133659.5059016,6171552505.142676,480509020.9854808,29044502.985919997,37471778.866414964,5444795090.431606,3085776252.5713387,8530571343.002945,37360622929.72688,0.0,0.0,43302022575.21556,866040451.5043112,44168063026.71987,1.2735309513621837,12081332299.523582,0.0,PASS,-4.76837158203125e-07,0.0,True,3862954415.06316,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0006,49756352913.10942,55209210371.3362,8234963692.987101,1049188.110484801,0.3097480762248962,1129664537.6724892,9365677418.770077,684664903.25119,29511425.493655,35985410.32558781,7758151521.86939,4682838709.385037,12440990231.254427,57514504434.97881,0.0,0.0,66471167629.65317,1329423352.5930634,67800590982.24623,0.8142880404360027,-12591380610.910034,12591380610.910034,BREACH,2.1457672119140625e-06,0.0,True,5842014672.551182,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0007,49007215187.84354,55113693908.5898,8750081655.280369,1131850.9572073957,0.2854548782912785,1218345056.4898186,9969558562.727394,772528556.9289728,34992384.415755,44215231.76202664,9548236588.223692,4984779281.363698,14533015869.587389,58555451776.06723,0.0,0.0,68123409070.9958,1362468181.419916,69485877252.41571,0.7931639649361085,-14372183343.825912,14372183343.825912,BREACH,-7.152557373046875e-07,-9.5367431640625e-07,True,6238116722.269272,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0008,11854684627.409325,23153845907.247063,2163376857.7532387,276422.0046618368,0.2793784356656723,301586439.7498436,2465239719.507744,184461171.08032182,11491196.76552,12535930.068163343,2601317688.0384026,1232619859.753872,3833937547.7922745,14456002315.447727,0.0,0.0,16816652696.354113,336333053.92708224,17152985750.281195,1.3498434759014182,6000860156.965868,0.0,PASS,-2.980232238769531e-07,0.0,True,1545697496.2692356,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0009,37420687572.08649,47288999137.49504,6136010600.567457,823242.2194510672,0.285403166638031,859689049.7732389,6996522892.560145,569845004.6722347,29954183.52081,31992453.3011294,6283081334.825003,3498261446.280073,9781342781.105078,43703768906.91149,0.0,0.0,50442440207.67177,1008848804.1534353,51451289011.8252,0.9191023207723031,-4162289874.330162,4162289874.330162,BREACH,-1.7881393432617188e-06,1.9073486328125e-06,True,4387904679.574122,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0010,27452830917.97726,35216448139.00227,4510852605.558385,639968.623359669,0.2613357378719065,646116770.204394,5157609344.386139,427029978.507691,21143985.719525,24118456.070410386,4852147864.310441,2578804672.1930695,7430952536.50351,32304978782.2877,0.0,0.0,37267619791.04755,745352395.820951,38012972186.8685,0.9264323759237043,-2796524047.866226,2796524047.866226,BREACH,3.5762786865234375e-07,0.0,True,3246065428.116988,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0011,60735734239.45619,75242847988.50183,11772110137.87737,1428128.8727249915,0.2977758440804922,1611998448.7003765,13385536715.450472,985009091.3977088,57018401.229027495,79532932.39998722,10280965853.965168,6692768357.725235,16973734211.690403,71016700093.42136,0.0,0.0,83854780383.96915,1677095607.679383,85531875991.64853,0.879705339280161,-10289028003.146698,10289028003.146698,BREACH,-4.76837158203125e-07,0.0,True,8361785207.654639,moderate_integrated_stress,1,moderate_market_stress,moderate_haircut_stress,key_rate_5y_up_100bp,moderate_settlement_disruption,0.35,0.1,0.02,1.0,section-19-v1,synthetic,False,False
