scenario_name,severity_rank,member_id,total_treasury_collateral_market_value_usd,total_repo_exposure_usd,treasury_collateral_inventory_usd,member_qualified_resources_usd,baseline_required_collateral_total_usd,stressed_required_collateral_total_usd,haircut_driven_collateral_call_usd,scenario_additional_collateral_call_usd,additional_collateral_requirement_total_usd,baseline_excess_collateral_inventory_usd,available_collateral_to_meet_calls_usd,collateral_posted_total_usd,collateral_shortfall_total_usd,haircut_market_value_loss_usd,inventory_unavailability_loss_usd,gross_collateral_resource_reduction_usd,bucket_qualified_resource_reduction_usd,stressed_member_qualified_resources_usd,baseline_final_bucket_order,baseline_final_time_bucket,baseline_liquidity_need_usd,baseline_available_resources_usd,baseline_eligible_collateral_liquidity_usd,baseline_available_cash_usd,baseline_liquidity_headroom_usd,baseline_liquidity_shortfall_usd,collateral_resource_reduction_usd,stressed_eligible_collateral_liquidity_usd,stressed_available_resources_usd,stressed_liquidity_need_usd,stressed_liquidity_headroom_usd,stressed_liquidity_shortfall_usd,stressed_liquidity_coverage_ratio,model_version,value_class,actual_ficc_participant,participant_level_inference
control,0,SYN-MBR-0011,3647380112.0899997,36137070763.22158,3647380112.0899997,75242847988.50183,37267370890.55195,37267370890.55195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75242847988.50183,5,day2_close,46896269210.368034,75242847988.50183,48907851192.52619,26334996795.97564,28346578778.1338,0.0,0.0,48907851192.52619,75242847988.50183,46896269210.368034,28346578778.133797,0.0,1.6044527476370511,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0012,9504471585.21,84669966837.68866,9504471585.21,212367652625.22192,87249082989.87569,87249082989.87569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212367652625.22192,5,day2_close,103838244087.22896,212367652625.22192,138038974206.39426,74328678418.82767,108529408537.99297,0.0,0.0,138038974206.39426,212367652625.22192,103838244087.22896,108529408537.99297,0.0,2.045177617283505,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0013,2800490810.77,29022328660.21077,2800490810.77,98583293681.45982,30014473070.053307,30014473070.053307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98583293681.45982,5,day2_close,39693623526.9826,98583293681.45984,64079140892.94889,34504152788.51093,58889670154.47724,0.0,0.0,64079140892.94889,98583293681.45984,39693623526.9826,58889670154.47724,0.0,2.483605297824365,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0014,1160629522.01,11039475480.9929,1160629522.01,27563413705.90542,11390707238.314278,11390707238.314278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27563413705.90542,5,day2_close,14317861159.392488,27563413705.90542,17916218908.838524,9647194797.066896,13245552546.51293,0.0,0.0,17916218908.838524,27563413705.90542,14317861159.392488,13245552546.51293,0.0,1.9251069275681496,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0015,1011951420.6,9536459467.201756,1011951420.6,24224007964.745144,9818778355.769854,9818778355.769854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24224007964.745144,5,day2_close,12301207764.937813,24224007964.745144,15745605177.084345,8478402787.6608,11922800199.807331,0.0,0.0,15745605177.084345,24224007964.745144,12301207764.937813,11922800199.807331,0.0,1.9692381778796504,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0016,1221397875.22,15027381512.579838,1221397875.22,34634721035.148605,15510502189.707853,15510502189.707853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34634721035.148605,5,day2_close,22431826183.79545,34634721035.148605,22512568672.8466,12122152362.302011,12202894851.353155,0.0,0.0,22512568672.8466,34634721035.148605,22431826183.79545,12202894851.353157,0.0,1.5439991711494456,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0017,912630962.22,9691439356.154583,912630962.22,18547989416.681694,9957952181.116571,9957952181.116571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18547989416.681694,5,day2_close,13459707145.81854,18547989416.68169,12056193120.843102,6491796295.838593,5088282270.863155,0.0,0.0,12056193120.843102,18547989416.68169,13459707145.81854,5088282270.86315,0.0,1.3780381115085332,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0018,1778270809.67,28009638418.94962,1778270809.67,90823998967.0652,28858395440.15918,28858395440.15918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90823998967.0652,5,day2_close,34293399068.12596,90823998967.0652,59035599328.592384,31788399638.472816,56530599898.93924,0.0,0.0,59035599328.592384,90823998967.0652,34293399068.12596,56530599898.93924,0.0,2.648439683294085,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0019,1009171348.6500001,12095663556.1214,1009171348.6500001,22087577368.866653,12501764247.5921,12501764247.5921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22087577368.866653,5,day2_close,15471181411.073448,22087577368.86665,14356925289.763325,7730652079.103327,6616395957.793201,0.0,0.0,14356925289.763325,22087577368.86665,15471181411.073448,6616395957.793201,0.0,1.4276593869591327,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0020,1803796884.65,29766485663.74318,1803796884.65,63853933972.3066,30641186818.24513,30641186818.24513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63853933972.3066,5,day2_close,45996446697.72258,63853933972.30661,41505057081.9993,22348876890.307312,17857487274.58403,0.0,0.0,41505057081.9993,63853933972.30661,45996446697.72258,17857487274.58403,0.0,1.3882362346800194,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0021,12570321869.79,128878304871.82515,12570321869.79,304408474480.80493,133225875885.72876,133225875885.72876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304408474480.80493,5,day2_close,159290668587.64313,304408474480.80493,197865508412.5232,106542966068.28172,145117805893.1618,0.0,0.0,197865508412.5232,304408474480.80493,159290668587.64313,145117805893.1618,0.0,1.9110251540774763,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0022,1086219580.1699998,13982439086.543755,1086219580.1699998,26836974511.062134,14416775503.267534,14416775503.267534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26836974511.062134,5,day2_close,15930829423.431942,26836974511.062134,17444033432.190388,9392941078.871746,10906145087.630192,0.0,0.0,17444033432.190388,26836974511.062134,15930829423.431942,10906145087.630192,0.0,1.6845936766850842,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0023,1617664137.39,23320655547.799843,1617664137.39,90188351371.4415,24032662102.494408,24032662102.494408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90188351371.4415,5,day2_close,38984996221.6997,90188351371.44151,58622428391.43698,31565922980.00452,51203355149.74181,0.0,0.0,58622428391.43698,90188351371.44151,38984996221.6997,51203355149.74181,0.0,2.313411827939108,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0024,748810565.56,10233498649.093483,748810565.56,27523688539.237083,10529832687.56703,10529832687.56703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27523688539.237083,5,day2_close,14496306704.49804,27523688539.237083,17890397550.504105,9633290988.73298,13027381834.739042,0.0,0.0,17890397550.504105,27523688539.237083,14496306704.49804,13027381834.739044,0.0,1.8986690265525905,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0025,2651639826.3900003,21996894422.578854,2651639826.3900003,56811541404.62919,22676902347.28099,22676902347.28099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56811541404.62919,5,day2_close,29452672295.528053,56811541404.62919,36927501913.00897,19884039491.620216,27358869109.10113,0.0,0.0,36927501913.00897,56811541404.62919,29452672295.528053,27358869109.101135,0.0,1.9289095683604631,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0026,2158618867.82,29057187736.36107,2158618867.82,61978397436.363266,29953643926.54778,29953643926.54778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61978397436.363266,5,day2_close,38830567236.25166,61978397436.36327,40285958333.63612,21692439102.72714,23147830200.111603,0.0,0.0,40285958333.63612,61978397436.36327,38830567236.25166,23147830200.11161,0.0,1.5961239262686104,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0027,1645227404.19,17732992129.027946,1645227404.19,56916796024.10077,18347453601.971764,18347453601.971764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56916796024.10077,5,day2_close,24389853596.46025,56916796024.10076,36995917415.6655,19920878608.435265,32526942427.640507,0.0,0.0,36995917415.6655,56916796024.10076,24389853596.46025,32526942427.64051,0.0,2.333625980943207,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0028,3632111886.97,42936862769.8352,3632111886.97,99599212235.12987,44272449801.11371,44272449801.11371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99599212235.12987,5,day2_close,56901213518.263145,99599212235.12988,64739487952.83442,34859724282.29545,42697998716.86672,0.0,0.0,64739487952.83442,99599212235.12988,56901213518.263145,42697998716.86674,0.0,1.7503881916887816,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0029,962226604.4,10716482275.787418,962226604.4,30217348533.848213,11058856390.05272,11058856390.05272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30217348533.848213,5,day2_close,13895032655.457573,30217348533.848213,19641276547.00134,10576071986.846874,16322315878.39064,0.0,0.0,19641276547.00134,30217348533.848213,13895032655.457573,16322315878.39064,0.0,2.174687118995701,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0030,8335143500.12,97247884795.47382,8335143500.12,302812978716.35925,100600990338.8381,100600990338.8381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302812978716.35925,5,day2_close,136226172547.68085,302812978716.35925,196828436165.6335,105984542550.72574,166586806168.6784,0.0,0.0,196828436165.6335,302812978716.35925,136226172547.68085,166586806168.6784,0.0,2.2228693139739426,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0031,1886946175.0,29594060294.53329,1886946175.0,61529492053.88336,30440035998.405262,30440035998.405262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61529492053.88336,5,day2_close,45162573847.15262,61529492053.88336,39994169835.024185,21535322218.859177,16366918206.730743,0.0,0.0,39994169835.024185,61529492053.88336,45162573847.15262,16366918206.730743,0.0,1.3624000319849492,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0032,1745145194.48,14158630807.643333,1745145194.48,36676041150.87291,14637774066.80556,14637774066.80556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36676041150.87291,5,day2_close,17356455650.687996,36676041150.87291,23839426748.06739,12836614402.805515,19319585500.184917,0.0,0.0,23839426748.06739,36676041150.87291,17356455650.687996,19319585500.184914,0.0,2.1131066093796114,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0033,1162935665.44,15353125620.53842,1162935665.44,59118321064.85495,15861718207.553133,15861718207.553133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59118321064.85495,5,day2_close,21226763596.39917,59118321064.85495,38426908692.15572,20691412372.69923,37891557468.45578,0.0,0.0,38426908692.15572,59118321064.85495,21226763596.39917,37891557468.45578,0.0,2.7850840659893894,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0034,2439412648.34,22667072283.95794,2439412648.34,63634218892.158264,23347817517.11875,23347817517.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63634218892.158264,5,day2_close,30194290501.952827,63634218892.15825,41362242279.90286,22271976612.25539,33439928390.20542,0.0,0.0,41362242279.90286,63634218892.15825,30194290501.952827,33439928390.20542,0.0,2.1074917752428286,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0035,1072891935.29,10669146750.584423,1072891935.29,39933966050.57036,10991962864.330606,10991962864.330606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39933966050.57036,5,day2_close,13383015351.117344,39933966050.57036,25957077932.87073,13976888117.699623,26550950699.45301,0.0,0.0,25957077932.87073,39933966050.57036,13383015351.117344,26550950699.453014,0.0,2.983928883204657,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0036,3685235062.95,48813927887.18971,3685235062.95,95836713791.62004,50259900945.63611,50259900945.63611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95836713791.62004,5,day2_close,65082341448.26418,95836713791.62004,62293863964.553024,33542849827.067013,30754372343.355858,0.0,0.0,62293863964.553024,95836713791.62004,65082341448.26418,30754372343.355858,0.0,1.4725455731767638,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0037,9442982664.06,99760492238.17995,9442982664.06,248389787156.3758,102697135148.52621,102697135148.52621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248389787156.3758,5,day2_close,126941233598.47124,248389787156.37576,161453361651.64426,86936425504.7315,121448553557.90453,0.0,0.0,161453361651.64426,248389787156.37576,126941233598.47124,121448553557.90453,0.0,1.9567305288844077,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0038,849815951.3299999,10404392568.154043,849815951.3299999,25040064941.657112,10687015126.857388,10687015126.857388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25040064941.657112,5,day2_close,12610449568.972672,25040064941.657112,16276042212.077124,8764022729.579988,12429615372.68444,0.0,0.0,16276042212.077124,25040064941.657112,12610449568.972672,12429615372.68444,0.0,1.9856599722873352,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0039,5554183434.559999,66177942432.44343,5554183434.559999,139476713507.3316,68205262896.68782,68205262896.68782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139476713507.3316,5,day2_close,83939405549.4429,139476713507.33167,90659863779.76556,48816849727.56607,55537307957.88876,0.0,0.0,90659863779.76556,139476713507.33167,83939405549.4429,55537307957.88876,0.0,1.6616357072623724,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0040,956557213.21,11028991232.236694,956557213.21,22962330417.931858,11352395208.906784,11352395208.906784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22962330417.931858,5,day2_close,15812782036.71113,22962330417.93186,14925514771.655712,8036815646.276151,7149548381.220732,0.0,0.0,14925514771.655712,22962330417.93186,15812782036.71113,7149548381.220732,0.0,1.4521372877095415,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0041,854174659.37,7664769685.113659,854174659.37,19834120222.86173,7913175057.568921,7913175057.568921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19834120222.86173,5,day2_close,8581488539.736111,19834120222.86173,12892178144.860125,6941942078.001605,11252631683.125618,0.0,0.0,12892178144.860125,19834120222.86173,8581488539.736111,11252631683.125618,0.0,2.3112680429532624,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0042,965154925.1800001,9163717993.655857,965154925.1800001,17941700328.971954,9432794164.28165,9432794164.28165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17941700328.971954,5,day2_close,11738125190.172869,17941700328.971954,11662105213.831772,6279595115.140183,6203575138.799086,0.0,0.0,11662105213.831772,17941700328.971954,11738125190.172869,6203575138.799086,0.0,1.528497953318193,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0043,1062980514.44,12700138210.348345,1062980514.44,36743787081.90648,13121032368.703815,13121032368.703815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36743787081.90648,5,day2_close,20591883759.388885,36743787081.90648,23883461603.23921,12860325478.667269,16151903322.517591,0.0,0.0,23883461603.23921,36743787081.90648,20591883759.388885,16151903322.517593,0.0,1.7843820172670273,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0044,8420975001.91,94439680763.62292,8420975001.91,308181623027.815,97272231984.45181,97272231984.45181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308181623027.815,5,day2_close,117890989609.88034,308181623027.815,200318054968.07977,107863568059.73524,190290633417.93463,0.0,0.0,200318054968.07977,308181623027.815,117890989609.88034,190290633417.93466,0.0,2.6141236412353144,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0045,1795779212.38,18747394547.043354,1795779212.38,28997219975.458714,19305131640.877106,19305131640.877106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28997219975.458714,5,day2_close,23088934280.81457,28997219975.458717,18848192984.048164,10149026991.41055,5908285694.644142,0.0,0.0,18848192984.048164,28997219975.458717,23088934280.81457,5908285694.644146,0.0,1.2558925250852115,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0046,2742179229.47,29742241171.4473,2742179229.47,100264545076.87358,30633427794.309357,30633427794.309357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100264545076.87358,5,day2_close,47582100752.85143,100264545076.87358,65171954299.96783,35092590776.905754,52682444324.02215,0.0,0.0,65171954299.96783,100264545076.87358,47582100752.85143,52682444324.02215,0.0,2.107190382317558,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0047,3552166857.4,37620650070.6974,3552166857.4,97833540582.7385,38679927095.460655,38679927095.460655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97833540582.7385,5,day2_close,50089117943.8017,97833540582.73853,63591801378.78003,34241739203.95847,47744422638.936806,0.0,0.0,63591801378.78003,97833540582.73853,50089117943.8017,47744422638.93683,0.0,1.9531895269648083,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0048,1152333636.53,14238647833.234943,1152333636.53,35327193721.53835,14699128101.487803,14699128101.487803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35327193721.53835,5,day2_close,19802825448.203243,35327193721.53835,22962675918.99993,12364517802.538424,15524368273.33511,0.0,0.0,22962675918.99993,35327193721.53835,19802825448.203243,15524368273.33511,0.0,1.7839471349147136,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0001,893181618.37,10547115374.828186,893181618.37,27146854021.072403,10890661349.172844,11078771034.82879,188109685.6559471,105471153.74828187,293580839.4042289,0.0,0.0,0.0,293580839.4042289,14398827.67763,0.0,14398827.67763,14398827.67763,27132455193.394775,5,day2_close,14677044626.155638,27146854021.072403,17645455113.697063,9501398907.37534,12469809394.916763,0.0,14398827.67763,17631056286.019432,27132455193.39477,14970625465.559866,12161829727.834906,0.0,1.812379533227477,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0002,2076021165.24,30007864860.384216,2076021165.24,50488291294.855255,30942113303.56352,31460784371.43776,518671067.8742404,300078648.60384214,818749716.4780825,0.0,0.0,0.0,818749716.4780825,32402137.082815,0.0,32402137.082815,32402137.082815,50455889157.772446,5,day2_close,41433101833.13419,50488291294.855255,32817389341.65592,17670901953.199337,9055189461.721062,0.0,32402137.082815,32784987204.573105,50455889157.77244,42251851549.612274,8204037608.160164,0.0,1.1941698956914812,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0003,1150515829.75,14731207018.624214,1150515829.75,31252301950.259506,15219003677.885532,15486613138.992971,267609461.10744023,147312070.18624216,414921531.2936824,0.0,0.0,0.0,414921531.2936824,18825612.4207475,0.0,18825612.4207475,18825612.4207475,31233476337.83876,5,day2_close,20155019286.488987,31252301950.259502,20313996267.66868,10938305682.590826,11097282663.77052,0.0,18825612.4207475,20295170655.247932,31233476337.838757,20569940817.78267,10663535520.056087,0.0,1.5184038016695451,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0004,1369413266.49,18708033818.07507,1369413266.49,41457312552.14155,19284987669.3465,19603928998.541435,318941329.194932,187080338.1807507,506021667.3756827,0.0,0.0,0.0,506021667.3756827,21226920.786140002,0.0,21226920.786140002,21226920.786140002,41436085631.35541,5,day2_close,27240947871.036327,41457312552.14155,26947253158.89201,14510059393.24954,14216364681.10522,0.0,21226920.786140002,26926026238.10587,41436085631.35541,27746969538.41201,13689116092.943398,0.0,1.4933553581046977,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0005,1800450968.92,17247570130.11036,1800450968.92,56249395326.243454,17810012449.093464,18118045768.77784,308033319.6843772,172475701.3011036,480509020.9854808,0.0,0.0,0.0,480509020.9854808,29044502.985919997,0.0,29044502.985919997,29044502.985919997,56220350823.25754,5,day2_close,24046617725.23445,56249395326.243454,36562106962.05824,19687288364.185207,32202777601.009,0.0,29044502.985919997,36533062459.07232,56220350823.25753,24527126746.219933,31693224077.037598,0.0,2.2921702735491465,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0006,1985292288.09,26031526273.50589,1985292288.09,55209210371.336205,26790191816.922646,27214541457.438774,424349640.5161309,260315262.7350589,684664903.25119,0.0,0.0,0.0,684664903.25119,29511425.493655,0.0,29511425.493655,29511425.493655,55179698945.842545,5,day2_close,38261802453.29525,55209210371.3362,35885986741.36853,19323223629.96767,16947407918.040949,0.0,29511425.493655,35856475315.87488,55179698945.842545,38946467356.54644,16233231589.296104,0.0,1.416808832510646,section-17-v1,synthetic,False,False
moderate_haircut_stress,1,SYN-MBR-0007,2191520292.05,27915366427.211388,2191520292.05,55113693908.5898,28812673972.154533,29306048864.811394,493374892.6568589,279153664.2721139,772528556.9289728,0.0,0.0,0.0,772528556.9289728,34992384.415755,0.0,34992384.415755,34992384.415755,55078701524.17404,5,day2_close,36528895363.58161,55113693908.5898,35823901040.583374,19289792868.006428,18584798545.008183,0.0,34992384.415755,35788908656.16762,55078701524.17404,37301423920.51058,17777277603.66346,0.0,1.4765844231991485,section-17-v1,synthetic,False,False
